,tahun,jenis_api,Nilai Produksi,Jumlah Hari,Tanggal Berangkat,Tanggal Kedatangan,nama_ikan_id,berat
11116,2018,Bagan perahu,1225000,3,2018-03-15T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],49
11174,2018,Bagan perahu,3440000,3,2018-03-15T00:00:00.000,2018-03-17T00:00:00.000,Kembung Perempuan [RAB],344
11283,2018,Jaring insang berlapis,868000,2,2018-03-17T00:00:00.000,2018-03-18T00:00:00.000,Kembung Perempuan [RAB],31
11304,2018,Bagan perahu,1500000,3,2018-03-16T00:00:00.000,2018-03-18T00:00:00.000,Kembung Perempuan [RAB],60
11469,2018,Bagan perahu,900000,3,2018-03-17T00:00:00.000,2018-03-19T00:00:00.000,Kembung Perempuan [RAB],36
11470,2018,Jaring insang berlapis,1008000,2,2018-03-18T00:00:00.000,2018-03-19T00:00:00.000,Kembung Perempuan [RAB],36
11496,2018,Bagan perahu,1275000,3,2018-03-17T00:00:00.000,2018-03-19T00:00:00.000,Kembung Perempuan [RAB],51
11700,2018,Jaring insang berlapis,672000,2,2018-03-19T00:00:00.000,2018-03-20T00:00:00.000,Kembung Perempuan [RAB],24
11736,2018,Bagan perahu,2250000,3,2018-03-18T00:00:00.000,2018-03-20T00:00:00.000,Kembung Perempuan [RAB],90
11853,2018,Jaring insang berlapis,840000,2,2018-03-20T00:00:00.000,2018-03-21T00:00:00.000,Kembung Perempuan [RAB],30
11966,2018,Jaring insang berlapis,616000,2,2018-03-21T00:00:00.000,2018-03-22T00:00:00.000,Kembung Perempuan [RAB],22
11977,2018,Bagan perahu,1100000,3,2018-03-20T00:00:00.000,2018-03-22T00:00:00.000,Kembung Perempuan [RAB],44
12127,2018,Bagan perahu,800000,3,2018-03-21T00:00:00.000,2018-03-23T00:00:00.000,Kembung Perempuan [RAB],32
12142,2018,Bagan perahu,1175000,3,2018-03-21T00:00:00.000,2018-03-23T00:00:00.000,Kembung Perempuan [RAB],47
12144,2018,Bagan perahu,1225000,3,2018-03-21T00:00:00.000,2018-03-23T00:00:00.000,Kembung Perempuan [RAB],49
12218,2018,Bagan perahu,125000,2,2018-03-23T00:00:00.000,2018-03-24T00:00:00.000,Kembung Perempuan [RAB],5
12226,2018,Bagan perahu,200000,3,2018-03-22T00:00:00.000,2018-03-24T00:00:00.000,Kembung Perempuan [RAB],8
12245,2018,Jaring insang berlapis,588000,2,2018-03-23T00:00:00.000,2018-03-24T00:00:00.000,Kembung Perempuan [RAB],21
12258,2018,Bagan perahu,1725000,4,2018-03-21T00:00:00.000,2018-03-24T00:00:00.000,Kembung Perempuan [RAB],69
12366,2018,Jaring insang berlapis,896000,2,2018-03-24T00:00:00.000,2018-03-25T00:00:00.000,Kembung Perempuan [RAB],32
12468,2018,Jaring insang berlapis,700000,2,2018-03-25T00:00:00.000,2018-03-26T00:00:00.000,Kembung Perempuan [RAB],25
12601,2018,Bagan perahu,150000,3,2018-03-25T00:00:00.000,2018-03-27T00:00:00.000,Kembung Perempuan [RAB],6
12636,2018,Jaring insang berlapis,672000,2,2018-03-26T00:00:00.000,2018-03-27T00:00:00.000,Kembung Perempuan [RAB],24
12738,2018,Bagan perahu,225000,2,2018-03-27T00:00:00.000,2018-03-28T00:00:00.000,Kembung Perempuan [RAB],9
12784,2018,Jaring insang berlapis,896000,2,2018-03-27T00:00:00.000,2018-03-28T00:00:00.000,Kembung Perempuan [RAB],32
12797,2018,Bagan perahu,1025000,4,2018-03-25T00:00:00.000,2018-03-28T00:00:00.000,Kembung Perempuan [RAB],41
12953,2018,Jaring insang berlapis,2324000,2,2018-03-28T00:00:00.000,2018-03-29T00:00:00.000,Kembung Perempuan [RAB],83
13010,2018,Jaring insang berlapis,2324000,2,2018-03-29T00:00:00.000,2018-03-30T00:00:00.000,Kembung Perempuan [RAB],83
13072,2018,Jaring insang berlapis,2324000,2,2018-03-30T00:00:00.000,2018-03-31T00:00:00.000,Kembung Perempuan [RAB],83
13136,2018,Jaring insang berlapis,2240000,2,2018-03-31T00:00:00.000,2018-04-01T00:00:00.000,Kembung Perempuan [RAB],80
13253,2018,Jaring insang berlapis,1624000,2,2018-04-01T00:00:00.000,2018-04-02T00:00:00.000,Kembung Perempuan [RAB],58
13412,2018,Jaring insang berlapis,1596000,2,2018-04-02T00:00:00.000,2018-04-03T00:00:00.000,Kembung Perempuan [RAB],57
13610,2018,Jaring insang berlapis,1288000,2,2018-04-03T00:00:00.000,2018-04-04T00:00:00.000,Kembung Perempuan [RAB],46
13726,2018,Jaring insang berlapis,1204000,2,2018-04-04T00:00:00.000,2018-04-05T00:00:00.000,Kembung Perempuan [RAB],43
13828,2018,Bagan perahu,425000,3,2018-04-04T00:00:00.000,2018-04-06T00:00:00.000,Kembung Perempuan [RAB],17
13967,2018,Jaring insang berlapis,920000,2,2018-04-06T00:00:00.000,2018-04-07T00:00:00.000,Kembung Perempuan [RAB],46
14030,2018,Bagan perahu,850000,3,2018-04-06T00:00:00.000,2018-04-08T00:00:00.000,Kembung Perempuan [RAB],34
14037,2018,Jaring insang berlapis,940000,2,2018-04-07T00:00:00.000,2018-04-08T00:00:00.000,Kembung Perempuan [RAB],47
14103,2018,Bagan perahu,100000,3,2018-04-07T00:00:00.000,2018-04-09T00:00:00.000,Kembung Perempuan [RAB],4
14107,2018,Bagan perahu,175000,3,2018-04-07T00:00:00.000,2018-04-09T00:00:00.000,Kembung Perempuan [RAB],7
14139,2018,Jaring insang berlapis,952000,2,2018-04-08T00:00:00.000,2018-04-09T00:00:00.000,Kembung Perempuan [RAB],34
